status;id;n_013;original;013__a;013__b;013__c;013__d;260__c;n_500;500__a
TO_UPDATE;90833;1;WO2003078299-A1, US2005227428-A1 ;WO03078299;WO;A1;2003;2002;0;
TO_UPDATE;91050;1;WO2007148240-A2;WO2007148240;WO;A2;2007;2006;1;Application No : 06118544.3-2107
ERROR;91051;1;06118628.4-2108;;;;;2006;0;
TO_UPDATE;91052;1;US2008026207-A1;US2008026207;US;A1;2008;2006;1;EP Application No : 06405325.9-1218
ERROR;94416;1;2003183760;;;;;2003;11;"Can 139:269237, 76-3 FIELD Section Title:Electric Phenomena, Field url:, H01j049-42., 250292000., Application: US, 20030326., 2003-397634, De, 2002-10213652, 20020327 FIELD Citations:Caravatti; US 4924089 A 1990|Senko; US 6573495 B2 2003|Anon; EP 1347486 A1 2003|Anon; GB 854943 A 1958|Anon; GB 1222577 A 1971|Anon; GB 2353632 A 2001|Anon; WO 02078048 A1 2002|Marshall; Mass Spectrometry Reviews 1998, 17, 1|Mclafferty; American Society for Mass Sepctrometry 2001, 12, 245|Tsybin; Rapid Communications In Mass Spectrometry 2001, 15, 1849|Hendrickson; International Journal of Mass Spectrometry and Ion Processes 1995, 141, 161|Budnik; Chemical Physics Letters 2001, 342, 299|Hofstadler; American Chemical Society, 71 , 2067|Colorado; Analytical Chemistry, 68, 4033|Schweikhard; American Society for Mass Spectrometry 1993, 4, 433|Zubarev; American Chemical Society, 3, 563|Little; American Chemical Society, 18, 2809|Tsybin, Y; 2001"
TO_UPDATE;98416;1;EP2006/050459;EP2006050459;EP;;2006;2006;0;
TO_UPDATE;98595;1;PCT/CH2005/000494;PCT/CH2005/000494;;;;2005;0;
TO_UPDATE;98596;1;EP1783128A1;EP1783128;EP;A1;;2005;0;
ERROR;98640;1;2000071738;;;;;2000;14;"Can 133:361982, 16-2 FIELD Section Title:Fermentation and Bioindustrial Chemistry, 3, Field url:, Ae, ag, al, am, at, at, au, az, ba, bb, bg, br, by, ca, ch, cn, cr, cu, cz, cz, de, de, dk, dk, dm, dz, ee, ee, es, fi, fi, gb, gd, ge, gh, gm, hr, hu, id, il, in, is, jp, ke, kg, kp, kr, kr, kz, lc, lk, lr, ls, lt, lu, lv, ma, md, mg, mk, mn, mw, mx, mz, no, nz, pl, pt, ro, ru, sd, se, sg, si, sk, sk, sl, tj, tm, tr, tt, tz, ua, ug, us, uz, vn, yu, za, zw, am, az, by, kg, kz, md, ru, tj, tm., At, be, ch, cy, de, dk, es, fi, fr, gb, gr, ie, it, lu, mc, nl, pt, se, bf, bj, cf, cg, ci, cm, ga, ml, mr, ne, sn, td, tg., C12p007-56., C12p007-40; c12p007-48; c12p007-60; c12p019-02; c12n015-53; c12n015-81; c12n009-04; c12n001-19; c12n001-19; c12r001-645., Application: WO, 20000519., 2000-us13907, Us, 99-316490, 19990521 FIELD Citations:Univ Chicago; WO 9716528 A 1997|Bianchi, M; WO 9914335 A 1999|Mini Agriculture & Fisheries; EP 0370160 A 1990|Porro, D; BIOTECHNOLOGY PROGRESS 1995, 11, 294|Hansens Lab; WO 9854337 A 1998|Urk van, H; APPLIED AND ENVIRONMENTAL MICROBIOLOGY 1990, 56, 281|Grivell, L; WO 9826079 A 1998|Rhone Poulenc Rorer Sa; WO 9401569 A 1994|Agronomique Inst Nat Rech; WO 9400554 A 1994|Stewart, J; BIOTECHNOLOGY AND GENETIC ENGINEERING REVIEWS 1997, 14, 67|Novonordisk As; WO 0014258 A 2000"
ERROR;98645;1;6485947;;;;;2002;12;"Can 138:3760, 16-5 FIELD Section Title:Fermentation and Bioindustrial Chemistry, 3, Field url:, C12p007-56., 435139000., Application: US, 20000519., 2000-574873, Us, 99-316490, 19990521 FIELD Citations:Baniel; US 4275234 A 1981|de Louvencourt; US 4806472 A 1989|Hollenberg; US 4859596 A 1989|van Den Berg; US 4943529 A 1990|Baniel; US 5510526 A 1996|Sarhaddar; US 5641406 A 1997|Doquin; US 5712152 A 1998|Wood; US 5783423 A 1998|Fowlkes; US 5789184 A 1998|Ligon; US 5817502 A 1998|Eyal; US 5831122 A 1998|Zhang; US 5843760 A 1998|Badziong; US 5866371 A 1999|Hallborn; US 5866382 A 1999|Fowlkes; US 5876951 A 1999|Cho; US 5882884 A 1999|Anon; EP 0370160 A2 1990|Anon; WO 9300440 1993|Anon; WO 9400554 1994|Anon; WO 9401569 1994|Anon; WO 9716528 1997|Anon; WO 9826079 1998|Anon; WO 9854337 1998|Anon; WO 9914335 1999|Anon; WO 0014258 2000|Porro; Applied and Environmental Microbiology 1999, 65, 4211|Franzblau; Mycopathologia 1983, 82, 185|Passoth; Applied Biochemistry and Biotechnology 1996, 57/58, 201|Porro, D; Biotechnol Prog 1995, 11, 294|Stewart, J; Biotechnology and Genetic Engineering Reviews 1997, 14, 67|Urk, H; Applied and Environmental Microbiology 1990, 56, 281|Anon; TheYeasts, A Taxonomic Study, Fourth Edition 1998, 240|Anon; Yeast Physiology and Biotechnology, Chapter 5, 203|Adachi, E; Journal of Fermentation and Bioengineering 1998, 86, 284|Becker, D; Methods in Enzymology 1991, 194, 182|Bianchi, M; Molecular Microbiology 1996, 19, 27|Billard, P; Gene 1995, 162, 93|Brambilla, L; Advances in Bioprocess Engineering 1994, 417|Cho, J; Applied And Environmental Microbiology 1998, 64, 1350|Danners, H; Applied Biochemistry and Biotechnology 1998, 70-72, 887|Dequin, S; Bio/Technology 1994, 12, 173|Destruelle, M; Yeast 1999, 15, 361|Durrens, P; Current Genetics 1990, 18, 7|Flikweert, M; Yeast 1996, 12, 247|Flikweert, M; Applied And Environmental Microbiology 1997, 3399|Garmyn, D; Applied And Environmental Microb I ology 1995, 61, 266|Gonzalez, F; Yeast 1997, 13, 1399|Gunge, N; Journal of Bacteriology 1981, 145, 382|Gunge, N; European Journal of Epidemiology 1988, 4, 409|Hohmann, S; Mol Gen Genet 1993, 241, 657|Hohmann, S; Journal of Bacteriology 1991, 173, 7963|Hsieh, H; Appl Microbiol Biotechnol 1998, 49, 147|Hsieh, H; Appl Microbiol Biotechnol 1998, 49, 411|Ito, H; Journal of Bacteriology 1983, 153, 163|Kiers, J; Yeast 1998, 14, 459|Lighthelm, M; Appl Microbiol Biotechnol 1988, 29, 67|Morsomme, P; The EMBO Journal 1996, 15, 5513|Seeboth, P; Journal of Bacteriology 1990, 172, 678|Shi, N; Appl Microbiol Biotechnol 1998, 50, 339|Siso, M; FEBS Letters 1996, 387, 7|Subden, R; Canadian Journal of Microbiology 1982, 28, 883|Ullrich, J; Methods in Enzymology Volume XVIII Vitamins and Coenzymes Part A 1970, 109|van Hoek, P; Applied And Environmental Microbiology 1998, 64, 2133|Warnecke, D; The Journal of Biological Chemistry 1999, 274, 13048|Wesolowski-Louvel, M; Nonconventional Yeasts in Biotechnology, A Handbook, Chapter 5 1996, 139|Witte, V; J Basic Microbiol 1989, 29, 707|Zeeman, A; Microbiology 1998, 144, 3437"
ERROR;98728;1;PCT Int. Appl.  CODEN: PIXXD2  WO  2007004113  A2  20070111  AN 2007:34245  ;;;;;2007;0;
ERROR;99043;1;US 11/518,292 (Patent pending);;;;;2006;0;
TO_UPDATE;99790;1;U.S. Patent No. 5,422,742;US5422742;US;;;1995;0;
TO_UPDATE;99791;1;U.S. Patent No. 5,438,431;US5438431;US;;;1995;0;
TO_UPDATE;99845;1;U.S. Patent No. 5,737,549;US5737549;US;;;1999;0;
TO_UPDATE;99869;1;EP 1073257A1;EP1073257;EP;A1;;2001;0;
TO_UPDATE;99870;1;U.S. Patent No. 5,796,409  ;US5796409;US;;;2001;0;
TO_UPDATE;99871;1;U.S. Patent No. 5,995,638  ;US5995638;US;;;2001;0;
TO_UPDATE;99872;1;U.S. Patent No. 6,249,588;US6249588;US;;;2001;0;
TO_UPDATE;99906;1;U.S. Patent No. 5,768,490;US5768490;US;;;2004;0;
TO_UPDATE;99907;1;U.S. Patent No. 6,198,545;US6198545;US;;;2004;0;
TO_UPDATE;99908;1;U.S. Patent No. 6,819,775;US6819775;US;;;2004;0;
ERROR;99923;1;U.S. Patent No. 7;;;;;2006;0;
TO_UPDATE;99924;1;U.S. Patent No. 7,054,038;US7054038;US;;;2006;0;
TO_UPDATE;99925;1;U.S. Patent No. 7,058,202;US7058202;US;;;2006;0;
TO_UPDATE;101125;1;WO2006047628 (A3);WO2006047628;WO;A3;2006;2006;0;
TO_UPDATE;101126;1;WO2006066439;WO2006066439;WO;;2006;2006;0;
TO_UPDATE;101127;1;WO2006102970;WO2006102970;WO;;2006;2006;0;
TO_UPDATE;104852;1;US 2007/0011111 Al;US20070011111;US;A;2007;2007;0;
ERROR;105050;1;application number US 11/515,063;;;;;2006;1;Filed on September 5, 2006, as as a regular US patent  application, and assigned Serial No 11/515,063. Published on March 3, 2008, with number US 2008/0059590 A1.
TO_UPDATE;108821;1;US 2005/0185666 A1;US20050185666;US;A1;2005;2005;0;
ERROR;109864;1;2006-IB1617;;;;;2006;0;
ERROR;109918;1;PIXXD2  WO  2007042474  ;;;;;2007;0;
TO_UPDATE;110887;1;EP 0 742 620 A1;EP0742620;EP;A1;;1995;0;
ERROR;110888;1;SPCI#X006314,  FR 9505990;;;;;1995;0;
TO_UPDATE;110971;1;US00568817;US00568817;US;;;1997;0;
ERROR;111277;1;EP 05001061.0;;;;;2005;0;
ERROR;111573;1;EP 06 001 889.2, filed 30.01.2006;;;;;2006;0;
ERROR;111574;1;EP 05 011 604.5, filed 30.05.2005 awarded 6.12.2006;;;;;2006;0;
ERROR;111820;1;US60/412.315;;;;;2002;0;
TO_UPDATE;112206;1;WO/2006/125452;WO2006125452;WO;;2006;2006;0;
ERROR;112281;1;EP 07007600.5;;;;;2007;0;
ERROR;112514;1;EP 06405326.7;;;;;2006;0;
ERROR;112592;1;EP 07113253.4;;;;;2007;0;
ERROR;113848;1;US2007070017220070131;;;;;2007;0;
ERROR;113849;1;US2007070015420070131;;;;;2007;0;
ERROR;113850;1;US2007070014020070131;;;;;2007;0;
ERROR;113851;1;US2007070013920070131;;;;;2007;0;
TO_UPDATE;113853;1;WO2006EP6935520061206;EP6935520061206;EP;;;2007;0;
TO_UPDATE;113854;1;WO2007EP06014449;EP06014449;EP;;;2007;0;
TO_UPDATE;113855;1;WO2006EP0511920060530;EP0511920060530;EP;;;2007;0;
TO_UPDATE;113914;1;PCT/IB2007/05469;PCT/IB2007/05469;;;;2007;0;
ERROR;114568;1;EP Appl. ;;;;;2007;0;
TO_UPDATE;116214;1;US  2007210282  ;US2007210282;US;;2007;2007;0;
TO_UPDATE;116215;1;EP  1837387;EP1837387;EP;;;2007;0;
TO_UPDATE;117745;1;EP1872084;EP1872084;EP;;;2008;0;
TO_UPDATE;117746;1;WO2006111909 (A1);WO2006111909;WO;A1;2006;2008;0;
TO_UPDATE;117747;1;WO2007085992;WO2007085992;WO;;2007;2007;0;
TO_UPDATE;117759;1;WO2006100544;WO2006100544;WO;;2006;2006;0;
TO_UPDATE;117917;1;WO2007029063;WO2007029063;WO;;2007;2007;0;
TO_UPDATE;118304;1;WO/2008/024890;WO2008024890;WO;;2008;2008;0;
TO_UPDATE;118533;1;WO200203692-A;WO0203692;WO;A;2002;2002;0;
TO_UPDATE;121478;1;US2008160580;US2008160580;US;;2008;2008;1;Also published as: WO0018957 / ZA200102420 / US7115400 / TR200100911 SK4292001
TO_UPDATE;121603;1;PCT/IB2008/051497;PCT/IB2008/051497;;;;2008;0;
TO_UPDATE;121650;1;US2009118128;US2009118128;US;;2009;2009;1;Also published as: WO2007010251 / WO2007010251 / EP1910559
TO_UPDATE;121651;1;WO2006064199;WO2006064199;WO;;2006;2007;1;Also published as: EP1828412
TO_UPDATE;121652;1;US2010041561;US2010041561;US;;2010;2010;1;Also published as: WO2007060456 / EP1957668
TO_UPDATE;121653;1;US2007042109;US2007042109;US;;2007;2007;1;Also published as: US7704543 / WO2005030695 / EP1692090
TO_UPDATE;121654;1;EP1634963;EP1634963;EP;;;2006;0;
TO_UPDATE;124707;1;NO20034592;NO034592;NO;;2003;2003;1;Also published as: WO03068986 / BR0303224 / AU2003226829
TO_UPDATE;124998;1;WO  2008043815  A1  20080417  CAN 148:482824  AN 2008:475803 ;WO2008043815;WO;A1;2008;2008;0;
TO_UPDATE;125674;1;WO2005005960;WO2005005960;WO;;2005;2005;1;Other patent linked: US2006286600
ERROR;125796;1;WO 2008047312 20071017;;;;;2008;0;
TO_UPDATE;126038;1;US2008177473;US2008177473;US;;2008;2008;1;Applicant Oerlikon Space AG (CH)
TO_UPDATE;128139;1;WO/2007/045509;WO2007045509;WO;;2007;2007;0;
TO_UPDATE;128420;1;WO 2008/102292 A2;WO2008102292;WO;A2;2008;2008;0;
ERROR;128493;1;US Patent Application 61/006,972;;;;;2008;0;
ERROR;128872;1;EP08164280.3;;;;;2008;0;
TO_UPDATE;129279;1;WO2007079411-A2;WO2007079411;WO;A2;2007;2007;0;
ERROR;129286;0;;;;;;2005;11;"CAN 142:330803, 3-1, Biochemical Genetics, Patent, written in German., 20050407, 848779-26-0 Role: BUU (Biological use, unclassified), PRP (Properties), BIOL (Biological study), USES (Uses) (as suicide substrate for restriction methyltransferase; use of microcompartmentation of transcription/translation complexes in emulsions in selection of proteins with novel properties); 10356-76-0D (5-Fluorodeoxycytidine) Role: BUU (Biological use, unclassified), BIOL (Biological study), USES (Uses) (as suicide substrate; use of microcompartmentation of transcription/translation complexes in emulsions in selection of proteins with novel properties); 84177-56-0DP; 85537-81-1DP (DNA methyltransferase MspI); 91448-96-3DP (HhaI methyltransferase); 92228-38-1DP (DNA methyltransferase AluI); 92228-40-5DP (HaeIII methyltransferase); 149719-23-3DP Role: BPN (Biosynthetic preparation), BUU (Biological use, unclassified), BIOL (Biological study), PREP (Preparation), USES (Uses) (use of microcompartmentation of transcription/translation complexes in emulsions in selection of proteins with novel properties); 1338-43-8 (Span 80); 9005-65-6 (Tween 80) Role: BUU (Biological use, unclassified), BIOL (Biological study), USES (Uses) (water-in-oil emulsions contg.; use of microcompartmentation of transcription/translation complexes in emulsions in selection of proteins with novel properties), A1, CH, 2003-1671, 20031001"
TO_UPDATE;130754;1;US5477905;US5477905;US;;;1989;0;
TO_UPDATE;131002;1;WO 2008090526;WO2008090526;WO;;2008;2008;0;
ERROR;131521;0;;;;;;2005;8;"Voet, M; Willsch, R; Ecke, W; Jones, J; Culshaw, B, 17th International Conference on Optical Fibre Sensors, Pts 1 and 2, 17th International Conference on Optical Fibre Sensors, MAY 23-27, 2005, Brugge, BELGIUM, 0277-786X, 0-8194-5855-4, 5855"
ERROR;134244;1;9611146;;;;;1996;0;
